Count	Title
13	Senior Solution Architect - Personalization Strategist
7	Senior Account Executive, Enterprise 
7	Data Engineer
6	Senior Product Designer
6	Senior Software Engineer
5	Manager, Security Engineering (Corporate Systems) 
5	Senior Software Engineer, Full Stack
5	Software Engineer, Forward Deployed Agent Builder
5	Systems, Senior Manager
5	Customer Success Manager
5	Enterprise Account Executive
5	Business Development Representative
5	Product Designer
4	Forward Deployed Engineer
4	Staff Software Engineer
4	Engineering Manager, GTM Engineering 
4	Engineering Manager, Onboarding
4	Senior Engineering Manager, Acquisition
4	Senior GRC Lead
4	Senior Security Operations Engineer 
4	Senior Software Engineer, Frontend
4	Senior Solutions Consultant
4	Production Lead
4	Sanitation Lead
4	Software Engineer
4	Account Executive
4	Account Executive, Enterprise
4	Sales Development Representative
3	Design Engineer
3	Product Security Engineer
3	Senior Customer Success Manager
3	Senior Product Architect
3	Engineering Manager, Cloud Infrastructure
3	Senior Software Engineer, Product 
3	Senior Software Engineer, Product Data Platform
3	Senior Accountant
3	Product Marketing Manager
3	Product Manager
3	Account Executive, Mid Market
3	Commercial Account Executive
3	Director, Product Marketing
3	Applied AI Engineer
3	Data Scientist
3	Staff Product Manager
3	Enterprise Customer Success Manager
3	Staff Data Scientist
2	Developer Success Engineer
2	Infrastructure Engineer
2	GTM Engineer
2	Senior Counsel
2	Senior Solutions Architect
2	Lead IT Engineer - Productivity Systems
2	Senior Analytics Engineer
2	Staff Software Engineer | Credit Cards
2	Engineering Manager, AI — Brex Assistant
2	People Business Partner Director, Engineering
2	Senior Manager, Compensation
2	Senior Manager, Small Business Partnerships
2	Software Engineer II, Backend
2	Senior Application Security Engineer 
2	Senior Infrastructure Engineer, Intelligent Platforms 
2	Staff Engineer, Consumer
2	Weekend Senior Packaging Procurement Buyer
2	Backend Engineer, Core Technology
2	Software Engineering Manager
2	Staff Security Engineer
2	Frontend Engineer
2	Commercial Counsel, EMEA
2	GTM Engineer 
2	Senior Product Partnerships Manager
2	Strategic Account Executive
2	Solutions Engineer
2	Principal Product Designer
2	Account Manager
2	Senior Security Engineer
2	Senior Solutions Engineer
2	Senior Solution Engineer
2	Deal Desk Manager
2	Technical Account Manager
2	Engineering Manager
2	Commercial Counsel
2	Event Marketing Manager
2	Social Media Manager
2	Staff Product Designer 
2	Staff Site Reliability Engineer
2	Manager, Sales Development
2	Staff Product Designer
2	Data Analyst
2	IT Support Engineer
2	Product Support Manager
2	Product Support Specialist
2	Technical Program Manager
2	Manager, Strategic Sales
2	Technical Program Manager, Research
2	Machine Learning Engineer
2	Staff Product Analyst
2	GTM Recruiter
1	Distributed Systems Engineer - Platform
1	Support Escalations Engineer
1	Support Engineer (EMEA)
